"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"Neurod1",0.279554481672326,0.999455473488465,0.820325595946747,0.557371862880071,-0.309876623316581,0.7442798783531,0.211585817516927,0.69517118342801,-1.48567713927639,1.99981865282398e-06,0.657033943881828,0.405565722433327
"Nfasc",-0.153206681504813,0.999455473488465,0.181849688135866,0.977374707066814,0.666530600058428,0.32715324686293,0.742730434464059,0.0969381631867808,-1.558335147697,4.41564403307768e-08,0.232495439981788,0.801427769773394
"Nfe2l2",0.0068264014262826,0.999455473488465,-0.0167368150347241,0.977374707066814,-0.123329311377135,0.487376024850857,0.230755153829712,0.0246944292645706,-0.186167221131615,0.0321781413707074,0.121553183534123,0.487107821379431
"Nfyb",0.11344879850355,0.980349712995131,0.167831719324705,0.913637345651906,-0.197337369388327,0.426371039751502,-0.054616617533923,0.758469686167805,-0.260809689756682,0.037422118457964,0.291292202422231,0.271851436726417
"Nim1k",0.0784392097027351,0.999455473488465,0.395006027427846,0.258542197545761,-0.168909211458734,0.61531002850272,-0.0503271688117115,0.810908941938563,-0.299529454197393,0.0448639557451409,0.0660621464349136,0.879040049604048
"Nin",0.0532313525263923,0.999455473488465,-0.0525724522672161,0.977374707066814,-0.0909094751637709,0.584496701737978,0.0828640232437177,0.407524226340933,-0.0215833596508445,0.803359418102544,0.0381972317740992,0.85469147382187
"Nlgn2",0.105923371124334,0.999455473488465,0.440510555289964,0.535460960350867,0.13235874770595,0.800391477503014,0.204786340256222,0.456373311175682,-0.830196859907596,3.97018328340107e-07,-0.0248308951319571,0.97010382037785
"Nme7",0.00509144032791392,0.999455473488465,0.0196338642621204,0.977374707066814,0.0165597500699643,0.928401535345885,0.154228090523277,0.0686593972365345,-0.146699276049083,0.0422388066442013,-0.0493617198373534,0.772699465923088
"Noc3l",0.0376548985809688,0.999455473488465,0.0315902114182518,0.977374707066814,0.0763879279232968,0.756360895793061,-0.152725936207149,0.221409198899272,-0.200074759374548,0.0553251100155488,0.257169073528536,0.194661508864143
"Nomo1",0.164452129203038,0.541992314819796,-0.134803278941941,0.893033520145578,-0.180727123237858,0.288798941516835,-0.179268194728987,0.12413903106375,0.242110887358303,0.008771323307213,0.0925356398402721,0.664897005935016
"Nop10",0.0229598407453062,0.999455473488465,0.0667824446518023,0.80451324660874,-0.0819057977104441,0.217871766230848,-0.0455313588322952,0.381374523095498,5.60567944241364e-05,0.998765721435516,0.0445268065879477,0.606219209216154
"Nop53",0.26081499973037,0.578332254375804,0.0370625722585629,0.977374707066814,-0.376951954738229,0.146322606544891,-0.404344008936362,0.0437922150515785,0.281031846061907,0.0874631155606894,0.223846037552549,0.508650602316912
"Nop56",-0.0362666430925398,0.999455473488465,0.286832395181311,0.706049281864415,0.00351230830174298,0.995599033712069,0.256644112333318,0.169013216320475,-0.454809749607149,0.00144845793300055,-0.0425959112441994,0.929975624099228
"Notch1",-0.0827101930539626,0.99424278611256,-0.0889457926509077,0.972599774869665,-0.108239333371541,0.612368772287046,0.113374505444671,0.349447897091112,-0.125538361660326,0.224784928887007,0.363972293613927,0.0146539107760002
